blast_perc_identity	NFamily	Ngenus	Nspecies	in library?	5011-BC-2016SLpm-MSITS3	5987-1-PC-2015-MSITS3	5987-7-May-13-MSITS3	5987-DH-2015-MSITS3	5987-Delano-2018-MSITS3	5987-HC-2015-MSITS3	5987-MC-2013-MSITS3	5987-QC-2015-MSITS3	5987-WC-2015-MSITS3	BYU	paul_comb
100	acarosporaceae	acarospora	americana	yes	159	0	0	0	0	0	0	0	0	0	0
92	acarosporaceae	acarospora	boulderensis	yes	0	0	0	0	0	0	0	0	0	0	21
97.368	acarosporaceae	acarospora	cluster104	no	113	0	0	0	665	0	0	0	0	0	171
92.908	acarosporaceae	acarospora	cluster1166	no	0	0	12	0	2	0	0	0	7	0	0
95.455	acarosporaceae	acarospora	cluster1286	no	14	0	0	0	0	0	0	0	0	0	0
90.714	acarosporaceae	acarospora	cluster137	no	290	0	0	0	0	0	0	0	0	0	0
95.425	acarosporaceae	acarospora	cluster353	no	0	0	3	0	0	0	35	0	1	56	0
91.954	acarosporaceae	acarospora	cluster419	no	0	0	0	0	63	0	0	0	0	0	0
93.506	acarosporaceae	acarospora	cluster486	no	0	0	30	0	28	1	3	0	37	0	5
94.771	acarosporaceae	acarospora	cluster514	no	0	0	0	0	0	0	0	0	0	71	0
98.675	acarosporaceae	acarospora	cluster581	no	0	0	0	0	16	0	26	0	4	0	1
89.474	acarosporaceae	acarospora	cluster8	no	0	2282	0	0	0	0	0	0	0	0	0
95.425	acarosporaceae	acarospora	cluster811	no	0	0	0	0	0	26	0	0	0	0	0
90.26	acarosporaceae	acarospora	cluster843	no	21	0	0	0	0	0	0	0	0	0	0
92.857	acarosporaceae	acarospora	cluster846	no	0	0	0	22	0	0	0	0	0	0	0
95.541	acarosporaceae	acarospora	cluster908	no	0	0	24	0	0	0	0	0	0	0	0
94.737	acarosporaceae	acarospora	cluster923	no	0	0	0	0	0	0	0	19	0	0	0
100	acarosporaceae	acarospora	effigurataNOMPROV	yes	17	0	0	0	0	0	0	0	0	0	0
96.855	acarosporaceae	acarospora	elevata1	yes	0	44	0	0	0	1	0	0	0	0	0
97.484	acarosporaceae	acarospora	elevata2	yes	0	0	0	1	0	559	0	0	0	11	0
	acarosporaceae	acarospora	erratica	yes	0	0	0	0	0	0	0	0	0	585	0
97.26	acarosporaceae	acarospora	erratica	yes	0	0	0	0	0	0	0	0	0	552	0
97.386	acarosporaceae	acarospora	erratica	yes	0	0	0	0	0	0	0	0	0	18	0
94.771	acarosporaceae	acarospora	erratica	yes	0	0	0	0	0	0	0	0	0	15	0
	acarosporaceae	acarospora	erraticaAFF	yes	52	3	17	0	35	0	1	0	0	833	54
96.774	acarosporaceae	acarospora	erraticaAFF	yes	34	0	17	0	0	0	1	0	0	681	54
multi-identity	acarosporaceae	acarospora	erraticaAFF	yes	0	3	0	0	11	0	0	0	0	115	0
95.425	acarosporaceae	acarospora	erraticaAFF	yes	18	0	0	0	0	0	0	0	0	37	0
	acarosporaceae	acarospora	erraticaAFF	yes	0	0	0	0	24	0	0	0	0	0	0
100	acarosporaceae	acarospora	moenium	yes	0	0	0	0	0	0	0	0	0	412	0
	acarosporaceae	acarospora	nitrophila	yes	140	0	0	105	0	18	0	36	0	0	315
95.425	acarosporaceae	acarospora	nitrophila	yes	0	0	0	0	0	0	0	0	0	0	188
95.425	acarosporaceae	acarospora	nitrophila	yes	0	0	0	0	0	0	0	0	0	0	57
93.377	acarosporaceae	acarospora	nitrophila	yes	0	0	0	0	0	0	0	0	0	0	38
94.771	acarosporaceae	acarospora	nitrophila	yes	0	0	0	21	0	0	0	0	0	0	25
93.506	acarosporaceae	acarospora	nitrophila	yes	50	0	0	77	0	0	0	0	0	0	7
100	acarosporaceae	acarospora	nitrophila	yes	0	0	0	0	0	0	0	36	0	0	0
99.346	acarosporaceae	acarospora	nitrophila	yes	0	0	0	7	0	18	0	0	0	0	0
multi-identity	acarosporaceae	acarospora	nitrophila	yes	76	0	0	0	0	0	0	0	0	0	0
93.464	acarosporaceae	acarospora	nitrophila	yes	14	0	0	0	0	0	0	0	0	0	0
